ETF代码,ETF名称,Index代码,Index名称,资产类别,是否调用回测[Y/N],全部跟踪该指数的基金,管理费率,托管费率,总费率,
515790.SH,光伏ETF,931151.CSI,光伏产业,Stock,N,"015993.OF,015994.OF,515370.SH,012929.OF,012679.OF,012680.OF,013816.OF,516290.SH,159618.SZ,159864.SZ,021947.OF,159857.SZ,018502.OF,024618.OF,3134.HK,011966.OF,011967.OF,011103.OF,516180.SH,159123.SZ,024059.OF,024060.OF,562970.SH,516880.SH,021084.OF,021085.OF,159609.SZ,017647.OF,019531.OF,012364.OF,012365.OF,013602.OF,021698.OF,013601.OF,012928.OF,013817.OF,012722.OF,012723.OF,022862.OF,515790.SH,017646.OF,014604.OF,014605.OF,019532.OF,011102.OF,012885.OF,012886.OF,018503.OF,413220.KS,159863.SZ",0.5000,0.1000,0.6 ,
159992.SZ,创新药ETF,931152.CSI,CS创新药,Stock,N,"159835.SZ,560900.SH,019667.OF,021098.OF,516060.SH,012781.OF,012782.OF,022104.OF,159858.SZ,012738.OF,516080.SH,159992.SZ,515120.SH,019666.OF,021097.OF,012737.OF",0.5000,0.0500,0.6 ,
515880.SH,通信ETF,931160.CSI,通信设备,Stock,N,"515880.SH,007817.OF,007818.OF,020899.OF,020691.OF,020692.OF,020900.OF,022500.OF",0.5000,0.1000,0.6 ,
159869.SZ,游戏ETF,930901.CSI,动漫游戏,Stock,N,"159869.SZ,516010.SH,012768.OF,012769.OF,023715.OF,012728.OF,012729.OF,516770.SH,022481.OF",0.5000,0.1000,0.6 ,
159851.SZ,金融科技ETF,930986.CSI,金融科技,Stock,N,"516100.SH,563670.SH,516860.SH,159103.SZ,515720.SH,023884.OF,023885.OF,013477.OF,013478.OF,159299.SZ,023537.OF,023536.OF,563570.SH,159851.SZ",0.5000,0.1000,0.6 ,
511010.SH,国债ETF,000140.SH,上证5年国债,Bond,Y,511010.SH,0.1500,0.0500,0.2 ,
511260.SH,十年国债ETF,h01077.SH,上证10年国债(净),Bond,Y,511260.SH,0.1500,0.0500,0.2 ,
511090.SH,30年国债ETF,CBA21801.CS,中债-30年期国债财富(总值)指数,Bond,Y,511090.SH,0.1500,0.0500,0.2 ,
511220.SH,城投债ETF,h11098.SH,沪城投债,Bond,N,511220.SH,0.1500,0.0700,0.2 ,
511030.SH,公司债ETF,CBC00702.CS,中债-中高等级公司债利差因子净价(总值)指数,Bond,Y,511030.SH,0.1500,0.0500,0.2 ,
511190.SH,信用债ETF,950245.CSI,沪做市公司债,Bond,Y,"511070.SH,511190.SH,511200.SH,511110.SH",0.1500,0.0500,0.2 ,
511380.SH,可转债ETF,931078.CSI,中证转债及可交换债,Bond,Y,511380.SH,0.1500,0.0500,0.2 ,
159980.SZ,有色ETF大成,IMCI.SHF,上期有色金属指数,Commodity,Y,"159980.SZ,007911.OF,007910.OF",0.6000,0.1000,0.7 ,
159985.SZ,豆粕ETF,DCESMFI.DCE,大商所豆粕期货价格指数,Commodity,Y,"159985.SZ,007937.OF,007938.OF",0.5000,0.1000,0.6 ,
159981.SZ,能源化工ETF,000201.CZC,易盛能化A,Commodity,Y,"159981.SZ,008827.OF,008828.OF",0.5000,0.1000,0.6 ,
518880.SH,黄金ETF,Au9999.SGE,SGE黄金9999,Gold,Y,"002610.OF,020341.OF,159812.SZ,518850.SH,518660.SH,008142.OF,000930.OF,000218.OF,000216.OF,008143.OF,518800.SH,009198.OF,021740.OF,002611.OF,022653.OF,159937.SZ,000217.OF,021499.OF,008702.OF,518880.SH,000929.OF,002963.OF,004253.OF,000307.OF,022502.OF,159934.SZ,008701.OF",0.5000,0.1000,0.6 ,
511360.SH,短融ETF,h11014.CSI,中证短融,Cash,Y,511360.SH,0.1500,0.0500,0.2 ,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
